,cardname,text,cmc,type
20114,Gorm the Great,"Partner with Virtus the Veiled (When this creature enters the battlefield, target player may put Virtus into their hand from their library, then shuffle.)
Vigilance
Gorm the Great must be blocked if able, and Gorm must be blocked by two or more creatures if able.",4.0,Legendary Creature — Giant Warrior
20115,Honor Troll,"Vigilance
If you would gain life, you gain that much life plus 1 instead.
Honor Troll gets +2/+1 as long as you have 25 or more life.",3.0,Creature — Troll Druid
20116,Day of the Moon,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II, III — Choose a creature card name, then goad all creatures with a name chosen for Day of the Moon. (Until your next turn, they attack each combat if able and attack a player other than you if able.)",3.0,Enchantment — Saga
20117,Greater Werewolf,"At end of combat, put a -0/-2 counter on each creature blocking or blocked by Greater Werewolf.",5.0,Creature — Werewolf
20118,Flycatcher Giraffid,Flycatcher Giraffid enters the battlefield with your choice of a vigilance counter or a reach counter on it.,5.0,Creature — Antelope Lizard
20119,Oath of Liliana,"When Oath of Liliana enters the battlefield, each opponent sacrifices a creature.
At the beginning of each end step, if a planeswalker entered the battlefield under your control this turn, create a 2/2 black Zombie creature token.",3.0,Legendary Enchantment
20120,Emperor's Vanguard,"Whenever Emperor's Vanguard deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",4.0,Creature — Human Scout
20121,Healer's Hawk,"Flying, lifelink",1.0,Creature — Bird
20122,Crypt Rats,{X}: Crypt Rats deals X damage to each creature and each player. Spend only black mana on X.,3.0,Creature — Rat
20123,Karplusan Wolverine,"Whenever Karplusan Wolverine becomes blocked, you may have it deal 1 damage to any target.",1.0,Snow Creature — Wolverine Beast
20124,Kithkin Spellduster,"Flying
{1}{W}, Sacrifice Kithkin Spellduster: Destroy target enchantment.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",5.0,Creature — Kithkin Wizard
20125,Rivaz of the Claw,"Menace
{T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon creature spells.
Once during each of your turns, you may cast a Dragon creature spell from your graveyard.
Whenever you cast a Dragon creature spell from your graveyard, it gains ""When this creature dies, exile it.""",3.0,Legendary Creature — Viashino Warlock
20126,Headless Skaab,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Headless Skaab enters the battlefield tapped.",3.0,Creature — Zombie Warrior
20127,Ondu Giant,"When Ondu Giant enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",4.0,Creature — Giant Druid
20128,Glaze Fiend,"Flying
Whenever another artifact enters the battlefield under your control, Glaze Fiend gets +2/+2 until end of turn.",2.0,Artifact Creature — Illusion
20129,Goblin Goliath,"When Goblin Goliath enters the battlefield, create a number of 1/1 red Goblin creature tokens equal to the number of opponents you have.
{3}{R}, {T}: If a source you control would deal damage to an opponent this turn, it deals double that damage to that player instead.",6.0,Creature — Goblin Mutant
20130,Bloodcurdler,"Flying
At the beginning of your upkeep, mill a card.
Threshold — As long as seven or more cards are in your graveyard, Bloodcurdler gets +1/+1 and has ""At the beginning of your end step, exile two cards from your graveyard.""",2.0,Creature — Horror
20131,Batterhorn,"When Batterhorn enters the battlefield, you may destroy target artifact.",5.0,Creature — Beast
20132,Tradewind Rider,"Flying
{T}, Tap two untapped creatures you control: Return target permanent to its owner's hand.",4.0,Creature — Spirit
20133,Portal Manipulator,"Flash
When Portal Manipulator enters the battlefield during the declare attackers step, choose target player and any number of target attacking creatures their opponents control. Those creatures are now attacking that player.",4.0,Creature — Human Wizard
20134,Capashen Unicorn,"{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.",2.0,Creature — Unicorn
20135,Coretapper,"{T}: Put a charge counter on target artifact.
Sacrifice Coretapper: Put two charge counters on target artifact.",2.0,Artifact Creature — Myr
20136,Lurebound Scarecrow,"As Lurebound Scarecrow enters the battlefield, choose a color.
When you control no permanents of the chosen color, sacrifice Lurebound Scarecrow.",3.0,Artifact Creature — Scarecrow
20137,Pressure Point,"Tap target creature.
Draw a card.",2.0,Instant
20138,Shattered Crypt,Return X target creature cards from your graveyard to your hand. You lose X life.,2.0,Sorcery
20139,Legacy's Allure,"At the beginning of your upkeep, you may put a treasure counter on Legacy's Allure.
Sacrifice Legacy's Allure: Gain control of target creature with power less than or equal to the number of treasure counters on Legacy's Allure. (This effect lasts indefinitely.)",2.0,Enchantment
20140,Boompile,"{T}: Flip a coin. If you win the flip, destroy all nonland permanents.",4.0,Artifact
20141,Streambed Aquitects,"{T}: Target Merfolk creature gets +1/+1 and gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)
{T}: Target land becomes an Island until end of turn.",3.0,Creature — Merfolk Scout
20142,Lich's Mastery,"Hexproof
You can't lose the game.
Whenever you gain life, draw that many cards.
Whenever you lose life, for each 1 life you lost, exile a permanent you control or a card from your hand or graveyard.
When Lich's Mastery leaves the battlefield, you lose the game.",6.0,Legendary Enchantment
20143,Flashfires,Destroy all Plains.,4.0,Sorcery
20144,Fledgling Osprey,Fledgling Osprey has flying as long as it's enchanted.,1.0,Creature — Bird
20145,Marshmist Titan,"This spell costs {X} less to cast, where X is your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",7.0,Creature — Giant
20146,Disturbed Slumber,"Until end of turn, target land you control becomes a 4/4 Dinosaur creature with reach and haste. It's still a land. It must be blocked this turn if able.",2.0,Instant
20147,Ethereal Guidance,Creatures you control get +2/+1 until end of turn.,3.0,Sorcery
20148,Barbarian Outcast,"When you control no Swamps, sacrifice Barbarian Outcast.",2.0,Creature — Human Barbarian Beast
20149,Covetous Castaway // Ghostly Castigator,None,2.0,Creature — Human // Creature — Spirit
20150,Blade of Selves,"Equipped creature has myriad. (Whenever it attacks, for each opponent other than defending player, you may create a token that's a copy of that creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)
Equip {4}",2.0,Artifact — Equipment
20151,Teroh's Faithful,"When Teroh's Faithful enters the battlefield, you gain 4 life.",4.0,Creature — Human Cleric
20152,Moaning Spirit,Flying,3.0,Creature — Spirit
20153,Llanowar Druid,"{T}, Sacrifice Llanowar Druid: Untap all Forests.",2.0,Creature — Elf Druid
20154,Falkenrath Marauders,"Flying, haste
Whenever Falkenrath Marauders deals combat damage to a player, put two +1/+1 counters on it.",5.0,Creature — Vampire Warrior
20155,Minotaur Abomination,,6.0,Creature — Zombie Minotaur
20156,Hope Against Hope,"Enchant creature
Enchanted creature gets +1/+1 for each creature you control.
As long as enchanted creature is a Human, it has first strike.",3.0,Enchantment — Aura
20157,Mortify,Destroy target creature or enchantment.,3.0,Instant
20158,"Kaust, Eyes of the Glade","Whenever a creature you control that was turned face up this turn deals combat damage to a player, draw a card.
{T}: Turn target face-down attacking creature you control face up.",2.0,Legendary Creature — Dryad Detective
20159,Prairie Stream,"({T}: Add {W} or {U}.)
Prairie Stream enters the battlefield tapped unless you control two or more basic lands.",0.0,Land — Plains Island
20160,Slingbow Trap,"If a black creature with flying is attacking, you may pay {G} rather than pay this spell's mana cost.
Destroy target attacking creature with flying.",4.0,Instant — Trap
20161,Duskfang Mentor,"When Duskfang Mentor enters the battlefield, put a lifelink counter on target non-Human creature you control.
{1}{B}, {T}: Put a +1/+1 counter on each creature you control with lifelink.",3.0,Creature — Human Cleric
20162,Hazardous Conditions,Creatures with no counters on them get -2/-2 until end of turn.,4.0,Sorcery
20163,Fact or Fiction,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,4.0,Instant
20164,Earth Elemental,,5.0,Creature — Elemental
20165,Confessor,"Whenever a player discards a card, you may gain 1 life.",1.0,Creature — Human Cleric
20166,Angelic Sell-Sword,"Flying, vigilance
Whenever Angelic Sell-Sword or another nontoken creature enters the battlefield under your control, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever Angelic Sell-Sword attacks, if its power is 6 or greater, draw a card.",5.0,Creature — Angel Mercenary
20167,Necron Deathmark,"Flash
Synaptic Disintegrator — When Necron Deathmark enters the battlefield, destroy up to one target creature and target player mills three cards.",5.0,Artifact Creature — Necron
20168,Jasmine Boreal,,5.0,Legendary Creature — Human
20169,Summer Bloom,You may play up to three additional lands this turn.,2.0,Sorcery
20170,Castle Garenbrig,"Castle Garenbrig enters the battlefield tapped unless you control a Forest.
{T}: Add {G}.
{2}{G}{G}, {T}: Add six {G}. Spend this mana only to cast creature spells or activate abilities of creatures.",0.0,Land
20171,"Faramir, Field Commander","At the beginning of your end step, if a creature died under your control this turn, draw a card.
Whenever the Ring tempts you, if you chose a creature other than Faramir, Field Commander as your Ring-bearer, create a 1/1 white Human Soldier creature token.",4.0,Legendary Creature — Human Soldier
20172,Academic Probation,"Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.",2.0,Sorcery — Lesson
20173,Essence Drain,Essence Drain deals 3 damage to any target and you gain 3 life.,5.0,Sorcery
20174,Grand Melee,"All creatures attack each combat if able.
All creatures block each combat if able.",4.0,Enchantment
